id,start_date,name,distance,moving_time,type,average_heartrate,max_heartrate,average_speed,max_speed,total_elevation_gain,start_latlng,end_latlng,weather_icon,weather_summary,weather_temperature
833271440,2017-01-15T16:01:07Z,Gravelocity,31.2,10499,Ride,,,10.7,30,275.3,"[37.45,-79.89]","[37.45,-79.89]",13,14,15
835511486,2017-01-17T21:52:04Z,"I am Lando Calrissian",8.7,3670,Ride,,,8.5,26.4,127.6,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
836630377,2017-01-18T22:03:14Z,"Wild boar on woodthrush",11.3,4775,Ride,,,8.5,22.4,113.1,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
839721941,2017-01-21T19:38:44Z,"Quick cove rip",10.6,4665,Ride,,,8.2,23.5,120.3,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
844327471,2017-01-25T22:15:36Z,"How do you get yo salt pond road legally?",3.6,1233,Ride,,,10.4,30,30.3,"[37.38,-79.8]","[37.38,-79.8]",13,14,15
847525940,2017-01-28T21:21:44Z,"I guess you could call him Rocky Racoon",12.7,5244,Ride,,,8.7,21.7,99.4,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
851041833,2017-01-31T21:21:55Z,"Confirmed pond. Frozen. No Salt",12.4,5934,Ride,,,7.5,26.2,162.8,"[37.41,-79.82]","[37.41,-79.82]",13,14,15
854159934,2017-02-03T21:48:40Z,"The new VA pines trail will be the death of me ",10.9,4342,Ride,,,9,25.7,117.2,"[37.26,-79.95]","[37.26,-79.94]",13,14,15
857759669,2017-02-06T22:28:45Z,"Chestnut loop",11,5302,Ride,,,7.5,26.6,92.9,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
859951985,2017-02-08T21:53:00Z,"Blackhorse Boogie",8.9,3515,Ride,,,9.1,26.6,127.7,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
863053114,2017-02-11T19:49:24Z,"Seventy in February ",11.6,4565,Ride,,,9.2,27.3,121.7,"[37.26,-79.95]","[37.26,-79.94]",13,14,15
864408022,2017-02-12T19:15:10Z,"Siri wouldn't shut up",14.2,6430,Ride,,,7.9,24.4,178.5,"[37.36,-79.99]","[37.36,-79.99]",13,14,15
865546315,2017-02-13T22:26:40Z,"Monday night ride ",9.9,4888,Ride,,,7.3,24.4,109.6,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
871256093,2017-02-18T19:05:29Z,"Spec Mines ",14.4,7266,Ride,,,7.1,28.4,170.9,"[37.41,-79.81]","[37.42,-79.76]",13,14,15
872807143,2017-02-19T19:09:01Z,"Well boys, we stole another weekend ",18.7,7793,Ride,,,8.6,25.7,198.1,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
873940367,2017-02-20T22:21:08Z,"Got sick",2.7,1016,Ride,,,9.5,45,15.1,"[37.41,-79.82]","[37.4,-79.83]",13,14,15
879613332,2017-02-25T19:37:09Z,"Your tires are the only thing you may put on the trail.",18.3,7392,Ride,,,8.9,25.5,200.8,"[37.26,-79.95]","[37.26,-79.95]",13,14,15
881034288,2017-02-26T19:27:25Z,"Took a stroll up Clownhead ",12,5800,Ride,,,7.4,23.9,163.3,"[37.36,-79.99]","[37.36,-79.99]",13,14,15
887801535,2017-03-04T19:45:13Z,"Explore Park",9.5,5383,Ride,,,6.4,21.5,96,"[37.24,-79.85]","[37.24,-79.85]",13,14,15
889314069,2017-03-05T19:16:09Z,"Showing Cory the Cove",11.7,6177,Ride,,,6.8,24.4,111.1,"[37.36,-79.99]","[37.36,-79.99]",13,14,15
890448525,2017-03-06T22:27:35Z,"Monday night ride ",10,5011,Ride,,,7.2,25.5,113.8,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
892792367,2017-03-08T22:36:07Z,"Took my black horse up Blackhorse",8.6,3323,Ride,,,9.4,25.5,127.6,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
896470866,2017-03-11T20:50:57Z,"Greenway ",10.1,3683,Ride,,,9.9,21.3,16,"[37.26,-79.95]","[37.26,-79.94]",13,14,15
897986368,2017-03-12T16:50:45Z,"Dody Ridge ",16.1,7604,Ride,,,7.6,23.3,212.4,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
905317207,2017-03-18T18:48:27Z,"Timberview Tango ",16,6935,Ride,,,8.3,24.8,196.9,"[37.36,-79.99]","[37.36,-79.99]",13,14,15
906972750,2017-03-19T19:50:42Z,"Took the Turner out with my new DB Air",18.4,8178,Ride,,,8.1,25.3,206.7,"[37.38,-80.02]","[37.38,-80.01]",13,14,15
908130701,2017-03-20T21:31:42Z,"1st ride of spring ",9.5,4557,Ride,,,7.5,27.3,119.8,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
912953846,2017-03-24T20:50:16Z,"I legit found a Washburn guitar by the side of the trail ",8.7,3794,Ride,,,8.3,30.9,104,"[37.26,-79.95]","[37.26,-79.94]",13,14,15
914411345,2017-03-25T20:56:25Z,"The Niner just really did not want to ride today ",8.5,3130,Ride,,,9.8,29.1,76.6,"[37.26,-79.95]","[37.26,-79.94]",13,14,15
915748462,2017-03-26T15:35:16Z,"Dody Ridge ",12.5,6621,Ride,,,6.8,27.5,202.4,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
917288594,2017-03-27T21:31:22Z,"Monday night ride ",8.2,3700,Ride,,,8,23,95.1,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
923790854,2017-04-01T17:48:54Z,"Did not find Sasquatch riding a mountain lion ",16.5,5717,Ride,,,10.4,29.5,132.5,"[37.27,-79.94]","[37.27,-79.94]",13,14,15
925744774,2017-04-02T18:51:14Z,Arcadia,17.2,8827,Ride,,,7,27.3,249.8,"[37.55,-79.62]","[37.55,-79.62]",13,14,15
931159365,2017-04-06T21:43:58Z,"Showed Christian mill",8.4,3824,Ride,,,7.9,24.6,89.9,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
933591159,2017-04-08T17:54:45Z,"Bikes > Cars",12.3,4040,Ride,,,10.9,36.5,99.2,"[37.27,-79.94]","[37.28,-79.92]",13,14,15
935471262,2017-04-09T14:12:25Z,"The Culls meet The VES ",23.4,14141,Ride,,,6,29.3,389.1,"[37.51,-79.52]","[37.51,-79.52]",13,14,15
943923822,2017-04-15T20:54:01Z,"Quick Mill Mt. Rip ",11.7,4510,Ride,,,9.4,27.1,130,"[37.26,-79.91]","[37.26,-79.91]",13,14,15
945296986,2017-04-16T18:16:23Z,"The Gauntlet did not make my creaks go away ",15.7,7220,Ride,,,7.8,25.9,196.8,"[37.36,-79.99]","[37.36,-79.99]",13,14,15
952127384,2017-04-21T21:04:42Z,"Turner Sultan. Maiden Voyage. Dody Ridge. ",8.6,4122,Ride,,,7.5,26.8,149.7,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
959494263,2017-04-26T20:55:13Z,"Poor trail design",8.9,5355,Ride,,,6,25.5,127.5,"[37.35,-79.17]","[37.35,-79.17]",13,14,15
960836935,2017-04-27T22:18:00Z,"Chestnut loop with Christian ",9.5,3864,Ride,,,8.8,28,92.8,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
968284902,2017-05-02T22:01:33Z,"Turner tango ",10.6,3799,Ride,,,10,25.5,107.7,"[37.26,-79.94]","[37.26,-79.94]",13,14,15
977382454,2017-05-08T21:44:42Z,"Monday night surfing",9.1,4283,Ride,,,7.6,28.4,112.8,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
981997083,2017-05-11T21:47:35Z,"Tiny Ride before the storm",2.9,1050,Ride,,,9.8,23.7,46.4,"[37.33,-79.9]","[37.33,-79.9]",13,14,15
984972128,2017-05-13T23:20:45Z,"Down to the Dunton's ",2.1,672,Ride,,,11.2,30.2,0,"[37.33,-79.9]","[37.32,-79.88]",13,14,15
986725085,2017-05-14T19:38:19Z,"Cove with Christ",13.2,6727,Ride,,,7.1,32.9,143.7,"[37.35,-80]","[37.36,-79.99]",13,14,15
988141934,2017-05-15T21:19:54Z,"Monday night ride ",10.7,5145,Ride,,,7.5,28,129.8,"[37.28,-79.92]","[37.25,-79.95]",13,14,15
1002677042,2017-05-23T22:20:27Z,"This greenway is huge ",14.5,3946,Ride,,,13.2,29.3,46.5,"[36.17,-86.76]","[36.18,-86.76]",13,14,15
1005345297,2017-05-25T17:17:38Z,"Quick run down main ",3,1191,Ride,,,9.1,19.7,4.8,"[36.17,-86.76]","[36.17,-86.76]",13,14,15
1008616918,2017-05-27T17:46:12Z,"Down to the pub with Jeff ",1.3,1038,Ride,,,4.6,21.5,3.4,"[36.17,-86.76]","[36.17,-86.76]",13,14,15
1008712209,2017-05-27T20:18:30Z,"Am I cross enough bro? ",18.4,4686,Ride,,,14.1,26.8,76.7,"[36.17,-86.76]","[36.17,-86.76]",13,14,15
1010651850,2017-05-28T22:19:20Z,"Poached Edwin Warner I guess? ",9.3,3662,Ride,,,9.1,26.4,95.4,"[36.06,-86.91]","[36.06,-86.91]",13,14,15
1016874894,2017-06-01T23:23:41Z,"Shelby Sprints ",19,4524,Ride,,,15.1,47.6,72.1,"[36.17,-86.76]","[36.17,-86.76]",13,14,15
1026030746,2017-06-07T21:42:33Z,"Poachin across state lines ",14.8,6387,Ride,,,8.4,30,152.5,"[36.08,-86.89]","[36.08,-86.89]",13,14,15
1042892016,2017-06-18T14:20:33Z,"Laps at the abandoned airfield ",21.4,5254,Ride,,,14.7,27.3,47.5,"[36.17,-86.76]","[36.17,-86.76]",13,14,15
1054285590,2017-06-25T20:56:26Z,"All the way to the collapsed bridge ",17.2,4232,Ride,,,14.6,26.6,80.3,"[36.17,-86.76]","[36.17,-86.76]",13,14,15
1057405058,2017-06-27T22:44:12Z,"Literally raced a hawk ",17,4133,Ride,,,14.8,26.4,50.6,"[36.17,-86.76]","[36.17,-86.76]",13,14,15
